Timestamp(us), ax, ay, az, gx, gy, gz, mx, my, mz,period
3877268981,8403.645155,-6850.589608,-7864.320399,-24.9687387,-24.9687387,-4.99374774,54.09893385,4.16145645,-1321.678569,0
3877288970,8527.656557,-6858.912521,-7940.058907,-23.30415612,-25.80102999,2.49687387,64.08642933,9.15520419,-1361.62855,0
3877308959,8450.253467,-6858.08023,-7890.95372,-24.13644741,-15.81353451,-2.49687387,74.07392481,0,-1321.678569,0
3877328948,8380.340999,-6851.421899,-7864.320399,-33.2916516,-19.14269967,-4.99374774,64.08642933,4.16145645,-1321.678569,0
3877348937,8436.936807,-6863.906269,-7884.29539,-34.12394289,-21.63957354,-0.83229129,54.09893385,29.13019515,-1340.821268,0
3877368927,8383.670164,-6828.950034,-7870.146438,-22.47186483,-4.16145645,0,64.08642933,-4.99374774,-1342.485851,0
3877388916,8274.640005,-6784.838596,-7867.649564,-15.81353451,5.82603903,-5.82603903,59.09268159,14.14895193,-1352.473346,0
3877408905,8322.080609,-6824.788578,-7850.171447,-9.98749548,6.65833032,-3.32916516,64.08642933,4.16145645,-1371.616046,0
3877428894,8341.223308,-6777.347974,-7827.699582,-4.99374774,-0.83229129,-2.49687387,69.08017707,0,-1361.62855,0
3877448883,8354.539969,-6636.690746,-7860.991234,-1.66458258,-12.48436935,-13.31666064,64.08642933,4.16145645,-1331.666064,0
3877468872,8426.949311,-6641.684494,-7950.878693,-5.82603903,-19.97499096,-22.47186483,59.09268159,4.16145645,-1361.62855,0
3877488861,8342.887891,-6587.58556,-7965.027645,-8.3229129,-10.81978677,-20.80728225,64.08642933,0,-1340.821268,0
3877508850,8310.428531,-6590.082434,-7984.170345,-12.48436935,-6.65833032,-17.47811709,64.08642933,-4.99374774,-1361.62855,0
3877528839,8313.757696,-6585.920978,-8064.070309,-9.98749548,-7.49062161,-19.14269967,74.07392481,0,-1340.821268,0
3877548828,8306.267074,-6812.304209,-8028.281783,-14.98124322,-14.98124322,-10.81978677,79.06767255,-14.98124322,-1331.666064,0
3877568817,8272.975423,-6851.421899,-7939.226615,-14.98124322,-19.14269967,-11.65207806,54.09893385,-9.98749548,-1321.678569,0
3877588806,8231.360858,-6703.27405,-7879.301642,-13.31666064,-17.47811709,-20.80728225,54.09893385,19.14269967,-1340.821268,0
3877608795,8256.329597,-6600.902221,-7860.158943,-10.81978677,-11.65207806,-28.29790386,69.08017707,0,-1373.280629,0
3877628784,8366.192047,-6610.057425,-7980.84118,-16.6458258,-14.14895193,-26.63332128,69.08017707,0,-1373.280629,0
3877648773,8514.339897,-6749.882362,-8019.95887,-29.96248644,-19.14269967,-18.31040838,69.08017707,-9.98749548,-1352.473346,0
3877668762,8511.010732,-6808.142752,-7969.189102,-18.31040838,-14.14895193,-13.31666064,54.09893385,0,-1352.473346,0
3877688751,8398.651407,-6662.491776,-7961.69848,-3.32916516,-9.15520419,-19.14269967,69.08017707,14.14895193,-1331.666064,0
3877708740,8419.45869,-6689.957389,-8024.120327,-8.3229129,-19.97499096,-26.63332128,69.08017707,-4.99374774,-1352.473346,0
3877728729,8351.210804,-6741.559449,-7985.834928,-9.98749548,-14.98124322,-23.30415612,64.08642933,4.16145645,-1342.485851,0
3877748718,8315.422278,-6745.720905,-7989.164093,-5.82603903,-14.14895193,-19.97499096,83.229129,0,-1361.62855,0
3877768707,8281.298336,-6722.416749,-8030.778657,0.83229129,-18.31040838,-21.63957354,69.08017707,4.16145645,-1321.678569,0
3877788696,8378.676416,-6709.93238,-8069.896348,-1.66458258,-14.98124322,-9.15520419,59.09268159,19.14269967,-1361.62855,0
3877808685,8447.756594,-6738.230284,-8043.263027,-4.99374774,-11.65207806,-14.98124322,59.09268159,4.16145645,-1340.821268,0
3877828674,8373.682669,-6687.460515,-8087.374465,-5.82603903,-9.98749548,-21.63957354,69.08017707,0,-1373.280629,0
3877848663,8340.391017,-6679.969894,-8012.468249,-16.6458258,-7.49062161,-19.14269967,69.08017707,9.15520419,-1342.485851,0
3877868652,8334.564978,-6625.038668,-7974.182849,-18.31040838,-4.99374774,-16.6458258,69.08017707,14.14895193,-1331.666064,0
3877888641,8401.148281,-6639.18762,-7988.331801,-20.80728225,-9.15520419,-9.98749548,74.07392481,4.16145645,-1361.62855,0
3877908630,8419.45869,-6610.889716,-7986.667219,-12.48436935,-16.6458258,-1.66458258,69.08017707,-4.99374774,-1331.666064,0
3877928619,8433.607642,-6576.765774,-8029.114075,-3.32916516,-17.47811709,-2.49687387,74.07392481,-4.99374774,-1331.666064,0
3877948608,8424.452437,-6593.411599,-8049.921357,8.3229129,-13.31666064,-6.65833032,64.08642933,4.16145645,-1361.62855,0
3877968597,8390.328494,-6555.958491,-8049.921357,12.48436935,-11.65207806,-6.65833032,74.07392481,14.14895193,-1310.858782,0
3877988586,8034.940114,-6441.934585,-7852.668321,-0.83229129,-24.9687387,-4.99374774,64.08642933,19.14269967,-1331.666064,0
3878008575,8014.965123,-6631.696999,-7865.984982,9.15520419,-38.28539934,43.27914708,69.08017707,9.15520419,-1361.62855,0
3878028564,7890.121429,-6647.510533,-7813.550631,11.65207806,-34.12394289,7.49062161,64.08642933,-14.98124322,-1352.473346,0
3878048553,7951.710985,-6570.939735,-7872.643312,7.49062161,-49.9374774,-12.48436935,64.08642933,4.16145645,-1361.62855,0
3878068542,7802.730844,-6604.231386,-7835.190204,10.81978677,-44.94372966,-19.97499096,69.08017707,0,-1352.473346,0
3878088531,7607.142391,-6502.691849,-7725.327754,5.82603903,-61.58955546,-41.6145645,83.229129,24.13644741,-1382.435833,0
3878108520,7617.962177,-6544.306413,-7721.166297,-10.81978677,-96.54578964,-39.11769063,69.08017707,19.14269967,-1361.62855,0
3878128509,7746.967327,-6566.778278,-7747.799619,-9.98749548,-133.1666064,-24.9687387,69.08017707,9.15520419,-1361.62855,0
3878148498,7900.941216,-6504.356431,-7999.983879,-9.98749548,-143.1541019,-42.44685579,64.08642933,4.16145645,-1382.435833,0
3878168487,7892.618303,-6353.711708,-8153.957768,-63.25413804,-174.7811709,-103.20412,88.22287674,14.14895193,-1373.280629,0
3878188476,8067.399474,-6243.016966,-8387.831621,-139.8249367,-206.4082399,-198.085327,79.06767255,9.15520419,-1331.666064,0
3878208465,8539.308635,-6496.86581,-8750.710623,-170.6197145,-216.3957354,-224.7186483,79.06767255,19.14269967,-1361.62855,0
3878228454,8863.069947,-6748.217779,-9044.509448,-114.0239067,-170.6197145,-157.3030538,74.07392481,4.16145645,-1352.473346,0
3878248443,8966.274067,-6516.008509,-9220.122911,-24.9687387,-104.8687025,-64.08642933,83.229129,0,-1373.280629,0
3878268432,8724.077302,-6466.903323,-9074.471935,25.80102999,-53.26664256,42.44685579,79.06767255,14.14895193,-1331.666064,0
3878288421,8618.376308,-6666.653233,-8878.05119,29.13019515,-50.76976869,62.42184675,83.229129,9.15520419,-1373.280629,0
3878308410,8443.595137,-6951.296854,-8611.717978,12.48436935,-52.43435127,9.15520419,93.21662448,0,-1352.473346,0
3878328399,8256.329597,-7473.975784,-8238.85148,28.29790386,-44.94372966,-0.83229129,83.229129,24.13644741,-1363.293133,0
3878348388,7879.301642,-7739.476706,-7735.315249,69.08017707,-14.98124322,5.82603903,88.22287674,24.13644741,-1352.473346,0
3878368377,7627.949673,-7980.84118,-7362.448751,120.6822371,-14.14895193,-15.81353451,83.229129,14.14895193,-1342.485851,0
3878388366,7171.021755,-7336.647721,-7204.313406,178.1103361,-32.45936031,-74.9062161,74.07392481,14.14895193,-1413.23061,0
3878408355,7261.741505,-6679.137602,-7609.639264,148.9801409,-89.88745932,-167.2905493,88.22287674,0,-1373.280629,0
3878428344,7953.375567,-6929.657281,-7871.811021,84.06142029,-188.0978315,-261.3394651,83.229129,4.16145645,-1342.485851,0
3878448333,8435.272224,-6988.749962,-8099.026543,114.856198,-192.259288,-262.1717564,74.07392481,9.15520419,-1361.62855,0
3878468322,9358.283265,-7682.048607,-9017.876127,144.8186845,-182.2717925,-253.8488435,88.22287674,-9.98749548,-1382.435833,0
3878488311,9926.738216,-7847.674573,-9662.901877,190.5947054,-90.71975061,-307.9477773,88.22287674,14.14895193,-1394.087911,0
3878508300,8967.93865,-6858.912521,-8992.907388,345.4008854,42.44685579,-194.7561619,103.20412,9.15520419,-1352.473346,0
3878528289,8763.194992,-6169.775333,-8900.523055,415.3133537,132.3343151,-1.66458258,98.21037222,9.15520419,-1352.473346,0
3878548278,8908.845968,-7231.779019,-9088.620887,276.3207083,138.1603541,-33.2916516,88.22287674,-4.99374774,-1373.280629,0
3878568267,8670.810659,-6893.868755,-9137.726073,202.2467835,153.1415974,-198.085327,83.229129,0,-1373.280629,0
3878588256,8339.558726,-7163.531133,-8758.201245,167.2905493,163.1290928,-211.4019877,79.06767255,4.16145645,-1361.62855,0
3878608245,7642.098625,-7873.475603,-7996.654714,201.4144922,149.8124322,-188.9301228,79.06767255,-9.98749548,-1361.62855,0
3878628234,7714.507967,-8124.827573,-8126.492156,140.657228,170.6197145,-327.090477,83.229129,-9.98749548,-1363.293133,0
3878648223,7927.574537,-7310.0144,-8459.408672,79.06767255,108.1978677,-615.0632633,74.07392481,-9.98749548,-1373.280629,0
3878668212,8016.629705,-5336.651751,-9012.882379,31.62706902,159.7999277,-674.9882362,79.06767255,-9.98749548,-1394.087911,0
3878688201,8463.570128,-4274.648065,-8625.034638,-83.229129,175.6134622,-636.7028369,74.07392481,-14.98124322,-1394.087911,0
3878708190,8153.125477,-3255.091235,-8466.067002,24.13644741,163.1290928,-428.6300144,69.08017707,0,-1382.435833,0
3878728179,7497.27994,-2881.392446,-7798.569387,160.632219,150.6447235,-106.5332851,83.229129,0,-1342.485851,0
3878748168,6601.734512,-4511.851083,-7569.689283,168.9551319,-15.81353451,-8.3229129,64.08642933,-9.98749548,-1340.821268,0
3878768157,6563.449113,-7246.760262,-7453.168502,183.1040838,-221.3894831,-168.1228406,64.08642933,-14.98124322,-1342.485851,0
3878788146,6284.631531,-8421.955564,-8120.666117,165.6259667,-601.7466027,-428.6300144,59.09268159,-24.9687387,-1382.435833,0
3878808135,6704.106341,-7521.416388,-7105.270743,148.1478496,-895.545428,-660.8392843,83.229129,-14.98124322,-1392.423328,0
3878828125,6322.084639,-5436.526706,-7312.511274,317.9352728,-389.5123237,-907.1975061,93.21662448,-19.97499096,-1340.821268,0
3878848114,6674.976146,-3887.632616,-7859.326651,126.5082761,-502.7039392,-992.0912177,83.229129,-14.98124322,-1394.087911,0
